question,response,prob_random_correct
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,correct,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_with_1_or_more_vaccination,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,correct,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
children_in_2100,incorrect,0.3333333333333333
