wage,hours,IQ,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
769,40,93,12,11,2,31,1,0,0,1,1,2,8,8
808,50,119,18,11,16,37,1,0,0,1,1,,14,14
825,40,108,14,11,9,33,1,0,0,1,1,2,14,14
650,40,96,12,13,7,32,1,0,0,1,4,3,12,12
562,40,74,11,14,5,34,1,0,0,1,10,6,6,11
1400,40,116,16,14,2,35,1,1,0,1,1,2,8,
600,40,91,10,13,0,30,0,0,0,1,1,2,8,8
1081,40,114,18,8,14,38,1,0,0,1,2,3,8,
1154,45,111,15,13,1,36,1,0,0,0,2,3,14,5
1000,40,95,12,16,16,36,1,0,0,1,1,1,12,11
930,43,132,18,8,13,38,1,0,0,0,1,1,13,14
921,38,102,14,9,11,33,1,0,0,0,1,2,16,
900,45,125,15,4,3,30,0,0,0,0,2,,12,12
1318,38,119,16,7,2,28,1,0,0,1,3,1,10,10
1792,40,118,16,9,9,34,1,0,0,1,1,1,12,12
958,50,105,10,17,2,35,1,0,0,1,1,2,6,8
1360,45,109,15,6,9,36,1,0,0,1,3,3,12,10
850,40,72,11,19,10,38,1,0,0,1,2,3,10,8
830,44,105,14,4,7,29,1,0,0,1,3,1,12,
471,44,101,12,13,7,31,1,0,0,1,3,2,8,
1275,40,123,14,9,1,31,1,0,0,1,0,1,12,
1615,50,113,16,10,4,36,1,0,0,1,2,1,12,12
873,65,95,12,14,3,38,1,0,0,1,5,1,10,10
2137,45,145,16,17,8,38,1,0,0,1,2,1,12,12
1053,38,114,16,12,7,32,1,0,0,1,0,1,11,11
1602,60,124,16,8,9,29,1,0,0,1,3,1,16,16
1188,40,93,13,16,5,35,1,0,0,1,2,1,12,8
800,40,115,18,11,1,35,1,0,1,1,0,1,8,8
1417,48,125,17,9,4,34,1,0,0,1,3,1,13,12
635,40,128,18,8,13,36,0,0,0,1,2,1,16,16
1000,40,103,12,17,2,34,1,0,0,1,1,1,8,
1424,50,98,14,15,4,35,1,0,0,1,1,1,12,12
2668,75,108,13,12,2,32,1,0,1,1,1,2,12,12
666,75,129,18,8,12,38,1,0,0,0,2,1,18,18
1779,40,132,17,8,9,32,1,0,0,1,1,1,17,14
782,40,92,13,9,10,31,1,0,0,1,3,3,8,
1572,35,108,14,7,5,28,1,1,0,1,1,,12,8
1274,40,106,13,11,12,31,1,0,0,1,0,1,15,12
714,35,105,16,9,2,29,1,0,0,1,1,2,13,12
1081,40,123,18,11,7,36,1,0,0,0,1,1,12,12
692,40,108,12,21,11,38,1,0,0,1,3,1,8,7
1318,38,122,17,10,9,33,1,0,0,1,1,,12,8
1239,45,109,12,16,4,38,1,0,0,1,3,3,12,
1027,27,100,13,12,15,38,1,0,0,1,3,3,10,9
1748,55,125,18,12,12,34,1,0,0,1,1,2,14,15
981,40,122,14,9,15,35,0,0,0,1,3,2,12,
770,40,105,17,7,11,30,1,0,0,1,3,1,12,12
1154,50,94,16,11,5,33,1,0,0,1,1,,12,12
1155,40,102,12,16,5,34,1,0,0,1,1,2,12,
808,60,109,13,14,12,38,1,0,0,1,2,2,12,10
1100,40,105,12,22,14,38,1,0,0,1,1,1,12,12
1154,40,134,18,10,10,37,1,0,1,1,2,1,12,12
1749,40,108,12,13,9,29,0,0,0,1,7,1,12,9
1000,50,104,16,11,8,30,1,0,0,1,1,1,12,11
462,40,112,12,11,1,29,1,0,0,1,8,3,12,
769,55,120,18,8,12,32,0,0,0,1,1,1,11,8
875,50,124,16,9,3,31,0,0,0,0,2,2,17,16
1375,40,103,12,12,7,29,1,0,0,1,4,2,12,10
1452,45,115,17,1,7,30,1,0,0,1,3,1,12,14
800,40,96,12,17,12,35,1,0,0,1,1,2,6,8
1748,55,123,17,10,7,36,1,0,0,1,1,1,12,12
1151,40,98,12,12,12,29,1,0,0,1,3,4,12,8
840,50,96,12,18,13,35,1,0,0,1,2,1,12,8
978,45,89,12,17,2,38,1,0,0,1,0,1,12,
963,40,109,12,15,15,37,0,0,0,0,5,,,7
619,42,93,12,10,10,28,0,0,0,1,8,,9,11
442,60,82,12,12,0,33,1,0,0,1,2,3,12,9
600,40,120,15,12,1,38,1,0,0,0,3,4,12,
1366,38,122,12,15,15,32,1,0,0,1,1,2,12,
1643,48,117,18,8,2,33,1,0,0,1,2,2,12,18
1455,40,109,16,8,13,36,1,0,0,1,1,2,8,8
2310,40,114,18,12,7,38,1,0,0,1,2,,12,16
1682,45,126,16,10,11,31,1,0,0,1,1,1,12,16
1235,40,82,12,10,2,33,1,0,0,1,1,1,11,11
855,45,119,16,11,4,32,1,0,0,1,3,1,12,9
1072,42,104,16,6,8,35,1,0,0,1,2,2,12,6
1040,40,115,15,8,15,35,1,0,0,1,3,4,,11
1000,50,97,12,17,15,36,1,0,0,1,1,2,12,12
675,40,105,15,8,2,31,1,0,0,0,3,,14,12
1100,37,100,12,14,1,30,1,0,0,1,1,2,7,7
996,50,114,12,5,14,31,1,0,0,1,2,1,12,10
732,40,73,10,17,5,36,1,0,0,1,5,6,,
1200,40,96,11,15,3,37,1,0,0,1,4,3,8,8
1694,30,113,15,9,8,29,0,0,0,1,3,1,12,16
686,55,106,10,15,3,36,1,0,1,1,4,5,14,10
754,40,104,13,9,5,32,1,0,0,1,1,2,8,
857,35,80,10,14,15,33,1,0,0,1,2,1,,12
832,50,104,13,4,2,30,1,0,0,1,1,2,12,8
579,44,122,13,8,1,30,1,0,0,0,4,1,16,16
672,61,96,12,13,3,34,1,0,0,1,2,,12,13
2500,40,95,15,12,9,36,1,0,0,1,3,1,16,16
1076,45,105,12,5,8,31,0,0,0,1,1,1,16,17
750,40,94,12,16,3,37,1,1,0,1,7,3,8,8
1186,30,91,17,8,9,33,1,0,0,1,1,1,12,14
833,48,96,16,9,7,31,1,0,0,1,4,4,12,14
650,40,69,12,14,11,30,1,1,0,1,3,4,10,9
1250,46,110,12,5,16,38,1,0,0,0,1,1,,12
1122,48,111,15,12,9,31,1,0,0,1,3,1,9,12
865,40,110,16,1,11,31,1,0,0,1,3,1,9,12
808,40,97,16,10,7,29,1,0,0,1,3,3,9,12
1299,60,125,18,6,12,35,0,0,0,1,1,2,8,8
903,40,91,12,6,12,36,1,0,0,1,5,4,9,10
900,40,86,12,17,15,37,1,0,0,1,5,3,8,10
625,40,110,12,18,0,35,1,0,0,1,4,1,9,8
1586,40,92,14,16,1,36,1,0,1,1,4,4,12,
962,40,85,10,15,16,38,1,0,0,1,1,2,9,12
1539,45,120,17,7,8,34,1,0,0,1,1,1,8,8
1110,52,106,12,11,6,33,1,0,0,0,5,2,12,12
1282,45,112,16,6,6,31,0,0,1,1,2,2,12,12
770,48,91,12,13,2,38,1,0,0,1,1,2,10,8
1000,45,90,12,16,0,38,1,0,0,1,6,3,10,12
895,40,86,9,17,16,38,1,1,0,0,2,,,12
1205,40,86,10,13,0,32,1,1,0,1,5,5,8,
750,40,113,12,11,10,29,1,0,0,0,1,,12,12
654,50,111,13,5,16,38,1,0,0,1,3,3,12,9
601,48,111,12,15,3,33,1,0,0,1,0,1,12,12
600,40,106,13,10,11,28,1,0,0,1,6,,8,7
433,40,98,12,11,10,30,0,0,0,1,1,1,12,11
1188,40,105,12,11,7,30,1,0,0,1,3,1,12,10
635,40,105,12,15,15,33,1,0,0,0,2,2,10,
1225,40,118,13,9,14,32,1,0,0,1,0,1,12,9
1151,45,90,12,19,19,36,1,0,0,1,1,1,12,8
865,40,95,12,15,11,32,0,0,0,1,3,1,9,8
1031,40,112,14,9,5,29,1,0,0,1,4,2,12,12
1049,55,120,12,9,11,32,1,0,0,1,3,2,12,10
1000,45,123,12,12,1,29,1,0,0,1,3,3,12,10
1105,40,103,13,10,11,30,1,0,0,1,1,1,16,15
1924,50,121,18,11,7,35,1,0,0,1,3,1,16,18
1346,40,90,16,9,16,38,1,0,0,1,1,1,12,12
809,65,125,12,11,10,29,1,0,0,1,0,1,12,12
1495,45,109,18,10,3,32,1,0,0,1,3,1,9,8
1346,50,128,16,10,1,33,0,0,0,0,3,1,10,9
1200,40,97,12,10,4,31,1,0,0,1,3,1,12,12
500,40,96,12,6,0,33,1,0,1,1,4,4,12,12
1325,45,97,12,12,5,28,1,0,0,1,1,2,12,8
900,40,78,12,16,5,33,1,1,0,1,4,1,7,6
800,40,112,12,15,3,34,1,0,0,1,6,4,7,
800,40,88,12,16,7,38,1,0,0,1,3,2,2,5
1034,40,97,12,15,16,36,1,0,0,1,14,10,14,11
980,40,101,12,4,12,36,1,0,0,1,1,,6,9
884,40,106,10,19,12,34,1,0,0,1,2,1,7,10
480,40,59,10,11,5,34,0,0,0,1,0,1,8,6
923,40,105,18,7,14,34,1,0,0,1,1,1,12,12
513,45,119,17,8,5,31,0,0,0,1,1,1,12,8
1105,40,93,11,17,16,37,0,0,0,1,2,2,8,8
1193,50,82,12,19,10,36,1,0,1,1,0,1,12,
2771,50,134,18,6,7,34,1,0,0,1,4,3,16,16
779,40,84,12,9,6,30,1,0,0,1,0,1,8,12
950,60,98,11,13,6,31,1,0,0,1,2,1,12,12
1394,40,118,16,11,8,30,1,0,0,0,2,1,13,12
1495,45,113,17,13,9,33,1,0,0,1,3,3,12,8
650,40,100,12,4,3,28,1,0,0,1,6,2,9,11
670,40,93,13,9,5,29,1,0,0,1,2,,12,12
1126,40,119,16,5,8,32,1,0,0,1,1,1,12,10
450,64,67,12,11,1,33,0,1,0,1,6,1,11,4
1028,40,111,12,19,12,37,1,1,1,1,3,4,12,
2404,50,106,15,8,0,32,1,0,0,1,2,1,12,12
1899,40,127,18,9,14,36,0,0,0,1,0,1,10,
757,40,113,16,10,9,33,1,0,0,1,2,1,12,12
1250,40,115,14,9,1,29,1,0,0,1,2,2,12,12
1162,48,102,16,8,11,31,1,0,0,1,3,2,12,
1025,40,85,15,9,13,29,1,1,0,1,6,1,14,12
1100,50,117,16,11,12,32,1,0,0,0,0,1,12,10
714,35,125,16,7,5,28,1,0,0,1,4,1,10,10
1318,35,118,16,16,17,37,1,0,0,0,1,1,8,12
1411,45,121,18,14,3,38,1,0,0,1,3,2,12,16
2162,40,115,17,4,4,38,1,0,0,1,1,1,12,12
1273,55,120,14,11,16,36,1,0,0,0,1,1,12,
1140,48,109,12,16,15,35,1,0,0,1,2,2,11,6
578,40,109,13,7,4,30,0,0,0,1,1,,12,11
942,40,85,12,7,10,38,1,0,0,1,4,5,,
1058,40,85,12,17,8,38,1,0,0,0,4,1,12,
750,40,106,14,9,9,29,1,0,0,1,1,2,11,10
1000,60,101,12,11,6,30,1,0,0,1,3,1,10,10
951,60,116,12,9,7,30,1,0,0,1,4,5,12,9
635,47,91,12,13,2,31,1,0,0,1,2,2,7,7
1250,40,91,12,13,1,34,1,0,0,1,3,1,11,5
675,40,110,12,6,15,34,1,0,0,1,2,1,7,
400,40,75,12,11,6,32,1,0,0,1,4,,7,12
577,50,94,12,9,8,29,1,0,0,1,2,,12,8
590,40,109,13,10,7,29,1,0,0,0,2,2,12,12
923,50,122,16,10,10,31,1,0,0,0,1,2,8,8
1250,50,102,12,6,2,32,0,0,0,1,4,2,11,8
1100,40,122,14,11,8,33,1,0,0,1,2,3,8,10
1130,50,105,12,18,2,37,1,0,0,1,4,2,10,10
652,50,113,12,14,4,36,0,0,0,1,1,2,9,9
618,42,104,12,6,2,30,1,0,0,1,3,2,8,12
962,50,124,16,7,14,34,1,0,0,1,2,2,9,11
529,40,110,13,14,11,32,1,0,0,0,1,1,12,8
817,40,95,12,16,14,33,1,0,0,0,2,1,12,12
962,40,120,16,8,9,32,1,0,0,0,0,1,18,
840,40,105,12,19,15,38,1,0,0,0,3,1,12,8
866,40,121,16,7,4,28,1,0,0,0,1,,12,12
2404,50,96,14,1,1,36,1,0,0,1,5,5,8,10
1126,40,110,12,16,2,32,1,0,0,1,6,1,9,12
1160,40,92,12,8,8,31,1,0,0,0,4,1,12,11
723,40,98,12,15,5,38,1,0,0,1,1,1,9,
1778,40,109,16,14,13,36,1,0,0,1,0,1,11,12
1903,48,118,18,13,5,36,1,0,0,0,0,1,11,11
1010,40,97,18,7,14,34,1,0,0,1,4,5,14,
971,40,95,17,5,11,37,1,0,0,1,1,2,16,8
525,40,99,12,9,2,34,1,0,0,1,2,1,10,8
525,40,106,12,12,13,30,1,0,0,0,1,1,10,12
670,45,117,12,10,3,30,1,0,0,0,5,2,12,
500,45,90,12,19,4,37,1,0,0,0,0,1,12,6
1058,45,98,14,14,15,34,1,0,0,0,2,3,,
550,46,95,12,18,15,35,1,0,0,1,1,1,12,11
500,45,115,12,14,1,32,1,0,0,1,1,2,12,11
727,55,106,15,10,5,31,0,0,0,1,1,,12,12
865,40,114,12,6,8,30,1,0,0,0,2,3,8,8
1081,40,92,13,8,2,30,1,0,1,1,3,4,12,10
1304,45,119,17,9,9,31,1,0,0,0,1,1,13,12
575,40,85,13,6,1,30,1,0,0,0,1,2,13,12
623,45,98,16,7,1,30,1,0,0,0,3,1,12,12
515,45,114,13,8,10,28,1,0,0,0,3,2,12,12
1273,55,84,18,14,4,37,1,0,0,1,1,1,8,12
990,40,108,13,13,9,33,1,0,0,0,4,1,16,16
600,40,107,12,16,6,33,1,0,0,0,5,6,8,4
1160,40,84,12,17,2,38,1,0,0,0,4,2,16,12
500,55,86,12,11,9,29,1,0,0,0,5,5,10,12
795,45,88,12,17,18,35,1,0,0,0,2,2,10,12
500,50,97,11,20,3,37,1,0,0,0,2,1,,
740,50,84,10,23,13,38,1,0,0,0,5,1,,9
1250,40,117,16,10,7,33,1,0,0,1,1,1,12,14
1014,55,110,16,13,9,30,0,0,0,1,1,2,12,14
1250,32,104,13,13,3,33,1,0,0,1,3,3,9,
913,40,110,14,4,13,29,1,0,0,1,3,4,9,
1346,40,99,16,9,8,30,1,0,0,1,2,,11,12
445,40,80,10,19,0,38,1,0,0,0,5,5,,
265,40,101,12,18,2,37,1,0,0,1,1,2,,
1250,40,117,14,7,1,28,1,0,0,1,1,2,12,12
1607,56,108,13,7,9,36,1,0,0,1,2,1,,
1452,35,69,16,12,15,38,1,1,0,1,7,6,10,10
1391,50,109,12,14,8,32,1,1,1,1,1,2,11,9
821,45,85,16,8,2,32,1,0,0,1,5,6,8,8
794,40,114,16,9,7,29,1,0,0,1,1,2,11,9
500,30,90,13,10,1,38,1,0,0,0,4,3,,
520,50,107,18,6,3,29,1,0,0,0,10,1,12,14
1730,50,117,18,12,12,37,1,0,0,1,1,2,12,8
1924,50,112,18,9,10,38,1,0,0,1,6,1,16,18
1155,60,106,18,10,2,37,1,0,0,1,3,3,14,18
2162,40,116,15,9,4,31,1,0,0,1,2,1,12,17
923,50,123,14,8,7,31,1,0,0,1,1,2,8,
1115,40,118,16,12,13,33,1,0,0,1,1,1,8,
449,36,91,12,7,2,30,0,0,0,1,1,,,
1500,40,103,12,10,11,34,1,0,0,1,2,3,12,7
826,40,114,14,20,3,37,1,0,0,1,4,4,8,6
937,40,102,12,16,8,35,1,0,0,1,3,2,12,6
978,48,104,12,19,15,36,1,0,0,1,5,6,6,
1031,40,112,14,14,12,33,0,0,0,1,6,6,14,12
1272,40,107,12,10,1,30,1,0,0,1,4,3,12,12
1136,50,117,14,16,12,34,1,0,1,1,2,3,12,12
800,45,110,12,19,12,36,1,0,0,1,7,8,,
1339,38,96,12,8,9,33,1,0,0,1,0,1,12,11
1063,40,90,12,14,12,32,1,1,0,1,2,2,8,12
935,44,97,12,10,6,29,1,0,0,1,2,2,8,7
808,40,99,12,18,13,38,1,1,0,1,0,1,9,8
375,40,99,10,12,2,30,1,0,1,0,3,2,8,5
537,40,97,12,14,8,31,0,1,0,1,2,1,11,
1082,55,95,12,11,4,29,1,1,0,1,2,2,11,
930,40,126,14,10,1,31,0,0,0,1,3,,8,
1155,40,109,17,13,4,38,1,0,0,0,3,3,12,8
548,40,86,11,7,0,33,1,1,0,1,5,2,11,
622,45,119,16,12,1,33,1,0,0,1,0,1,12,12
841,40,102,16,10,1,29,1,0,0,1,3,1,12,12
769,55,105,18,7,15,38,0,0,0,1,2,3,9,5
587,38,117,17,8,5,29,1,0,0,0,3,3,12,
1924,45,112,16,17,18,38,1,0,0,1,1,1,12,12
1058,40,89,12,7,3,29,1,0,0,1,2,,8,6
417,48,131,12,7,1,28,0,0,0,1,1,2,12,6
1202,48,114,16,6,6,28,1,0,0,1,3,3,16,16
1154,40,98,14,18,2,37,1,0,0,1,1,,10,14
1070,40,124,13,4,9,32,1,0,0,1,0,1,,
1202,40,125,14,10,11,29,1,0,0,1,2,3,12,12
711,45,100,18,13,3,36,1,0,0,1,1,,10,16
1202,40,84,14,6,5,31,1,1,0,1,2,1,11,9
850,43,113,12,7,3,28,1,0,0,1,1,2,8,12
1000,40,102,16,13,11,35,1,0,0,1,6,2,10,12
490,49,82,18,7,8,31,0,0,0,1,2,,12,9
1000,40,112,14,15,4,35,1,0,0,1,4,1,12,10
865,40,111,16,11,4,31,1,0,1,1,4,5,8,5
1375,40,96,13,3,3,30,1,0,0,1,3,1,11,8
1586,40,127,16,16,12,37,1,0,0,1,4,4,16,16
1602,65,97,15,14,14,37,1,0,0,1,1,1,8,
3078,65,120,14,12,13,36,1,0,1,1,1,2,12,
898,40,101,16,7,9,35,0,0,0,1,3,4,16,14
906,40,120,14,16,2,37,1,0,0,1,5,1,12,12
952,40,99,13,10,10,31,1,1,0,1,1,1,8,10
571,40,78,13,10,1,29,0,1,0,1,5,5,8,9
445,45,110,12,15,13,32,0,0,0,1,2,2,5,11
289,40,94,12,9,0,30,1,0,0,1,2,3,5,11
1444,40,120,16,12,15,37,1,0,0,1,1,2,17,13
962,55,108,12,19,21,36,1,0,0,1,3,1,8,8
1075,40,103,12,17,10,33,1,0,0,1,13,3,11,11
909,55,97,11,17,5,35,1,0,0,1,7,3,,
1250,40,106,12,14,19,35,1,0,0,1,4,1,11,13
620,40,99,11,10,5,29,1,1,0,1,11,5,,
1016,40,72,10,14,15,37,1,1,0,1,8,9,11,
800,40,88,10,21,14,37,1,1,0,1,8,1,11,8
1050,40,119,16,7,18,37,0,0,0,1,2,2,12,13
1079,50,87,12,18,9,36,1,0,0,1,5,5,8,
654,50,121,17,12,13,34,1,0,0,1,1,2,11,12
781,50,112,12,8,10,30,1,0,0,1,2,2,12,8
1038,48,103,15,8,2,36,1,0,1,0,2,1,12,15
1924,50,99,16,16,14,37,1,0,0,1,0,1,16,18
1202,40,101,15,15,17,37,1,0,0,1,3,2,12,12
666,70,117,15,8,2,32,1,0,0,1,0,1,,
