wage,hours,IQ,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
390,59,74,15,10,3,30,1,1,1,1,3,3,7,6
1500,40,123,16,9,12,32,1,0,1,1,1,1,12,14
583,80,86,12,9,1,30,1,0,1,1,2,2,12,12
460,40,92,11,16,1,36,1,0,1,1,5,6,,
945,40,87,12,12,13,38,1,0,1,1,2,2,8,
1442,60,117,16,9,3,31,1,0,1,1,1,2,12,10
1333,45,112,16,14,8,38,1,0,1,1,1,2,12,4
1500,37,119,15,8,5,33,0,0,0,1,1,1,12,18
1333,45,103,16,7,1,34,1,0,0,1,3,1,,
700,40,74,12,16,4,36,1,1,1,1,3,,9,
973,36,81,13,11,5,32,1,0,1,1,0,1,6,9
2162,40,124,18,10,8,32,1,0,1,1,1,1,10,10
797,41,89,12,10,7,36,1,0,1,0,1,2,7,8
400,40,88,12,14,1,32,1,1,1,1,7,7,7,6
1015,40,67,12,15,11,32,1,1,0,1,3,2,9,5
1744,43,106,16,8,9,29,1,0,1,1,1,1,12,16
630,40,103,15,14,2,32,1,0,1,0,0,1,11,5
445,40,91,12,11,4,32,1,0,1,0,0,1,6,8
660,42,101,16,12,9,31,1,0,1,1,0,1,12,12
779,40,85,12,14,7,37,1,1,1,1,7,4,12,
377,40,83,12,9,1,36,0,0,1,1,1,1,12,12
560,44,70,12,16,11,35,1,1,1,1,2,1,8,
1122,60,102,17,7,13,32,1,0,1,1,2,2,12,11
453,50,94,12,9,2,30,1,0,1,0,6,4,7,7
1386,40,97,10,17,9,37,1,0,1,1,1,2,12,8
1539,40,115,17,7,9,31,1,0,1,1,2,1,12,16
1154,40,117,16,11,12,35,1,0,1,1,5,5,17,18
962,50,105,14,15,2,37,1,0,1,1,3,4,8,4
722,55,113,16,8,1,38,0,0,1,1,1,2,8,
480,40,83,12,9,3,37,1,0,1,1,4,3,10,11
808,50,101,18,8,9,38,1,0,1,0,3,2,17,12
1442,40,113,13,14,8,36,1,0,1,1,2,1,12,12
1091,50,88,13,13,4,37,1,0,0,1,4,1,12,
350,40,93,12,16,0,33,0,1,1,1,1,1,12,
500,40,83,12,18,11,36,1,1,1,1,0,1,7,
1026,45,113,16,9,13,30,1,0,1,1,2,2,16,14
577,40,106,17,11,7,33,0,1,1,1,3,2,13,16
1333,60,106,15,5,1,30,1,0,1,1,2,2,12,12
915,55,114,12,17,9,37,1,0,0,1,1,,10,
1105,40,119,16,9,10,30,0,0,1,1,5,1,11,10
910,40,82,14,5,5,30,1,1,1,1,10,,9,3
1000,40,89,12,17,8,38,1,0,1,1,7,7,1,4
1160,40,74,12,14,1,33,1,1,1,1,9,6,3,4
1001,34,77,12,12,3,29,1,1,1,1,9,8,3,4
713,40,75,12,5,12,36,1,1,1,1,7,4,,
929,40,97,13,12,5,30,1,0,1,1,2,1,12,12
400,50,68,12,4,9,31,1,1,1,1,6,1,6,2
1241,40,83,13,9,10,33,1,0,1,1,2,3,12,12
1065,40,97,12,21,10,36,1,0,1,1,1,1,12,
403,45,98,12,5,3,30,1,0,1,1,2,,12,12
940,45,102,13,15,12,30,1,1,1,1,2,2,,
812,40,81,10,17,13,34,1,1,1,1,2,2,8,3
700,20,85,10,13,0,35,1,1,1,1,3,,6,10
575,40,86,10,12,6,33,1,1,1,1,8,,,
450,40,79,10,20,5,36,1,1,1,1,7,6,12,12
621,43,84,12,14,10,31,1,0,1,0,4,3,8,6
441,38,74,12,12,11,30,1,0,1,0,4,4,8,6
625,40,92,16,6,9,33,1,1,1,0,11,1,,
726,45,93,12,16,5,36,1,0,1,0,5,2,6,
500,40,69,9,21,13,38,1,1,1,1,8,6,6,
1000,44,113,17,8,2,34,1,0,1,1,4,1,17,18
393,48,92,12,15,16,38,1,0,1,1,1,1,8,7
600,40,127,12,8,3,28,0,0,1,0,2,2,9,12
962,50,109,12,21,12,37,1,0,1,0,0,1,6,
962,40,97,12,15,4,34,1,0,1,0,5,1,10,8
865,40,66,11,10,7,30,1,0,0,1,14,4,0,10
1154,50,109,16,10,3,35,1,0,1,1,2,1,16,14
1386,42,109,16,10,11,34,1,0,1,0,1,1,4,14
732,40,104,12,10,7,36,1,0,1,1,1,2,,
865,40,85,13,4,9,34,1,0,1,1,3,3,8,8
700,40,81,12,13,13,31,1,0,1,0,5,6,8,4
975,40,87,9,20,10,37,1,0,1,0,3,,5,4
1300,40,78,13,12,3,33,1,0,1,1,2,3,12,12
900,40,54,14,12,3,31,1,0,1,1,2,1,12,12
829,40,98,12,15,15,36,1,0,0,1,4,5,8,8
1000,40,98,12,17,13,36,1,0,1,1,3,,12,
827,40,105,16,7,8,30,1,0,0,1,2,1,16,12
500,44,87,13,5,2,31,1,0,1,1,7,,12,
1155,40,117,13,9,1,28,1,0,0,1,3,2,12,12
950,55,85,15,8,3,29,0,0,0,1,2,,12,12
700,40,82,13,10,4,30,1,0,0,1,4,5,8,
1710,45,114,18,7,6,32,1,0,0,1,1,1,12,
533,30,65,12,5,1,32,0,1,0,1,5,1,11,12
2004,48,105,18,10,0,34,1,0,0,1,2,1,12,12
890,60,92,14,9,8,32,1,0,0,1,1,2,7,7
3078,30,107,13,11,4,29,1,0,0,1,2,2,12,12
1539,40,111,17,10,13,37,1,0,0,1,3,2,12,16
508,40,73,12,1,1,31,1,1,0,1,1,,,
1354,40,119,17,13,9,35,0,0,0,0,2,1,16,16
1143,35,97,12,21,8,38,1,0,0,1,5,1,12,12
962,40,110,12,16,8,33,1,0,0,1,2,1,10,10
1250,44,96,12,19,20,38,1,0,0,1,2,1,12,12
990,40,67,12,16,3,34,1,1,0,1,2,1,8,8
905,40,102,12,17,4,37,1,0,0,0,5,5,12,12
926,55,64,12,18,0,38,1,0,0,1,4,5,0,2
1559,40,103,12,17,10,34,1,0,0,1,3,4,8,8
1312,40,118,10,14,4,32,1,0,0,1,0,1,12,8
923,40,118,14,8,16,35,1,1,0,1,5,1,7,
879,40,118,18,1,9,31,1,0,0,1,1,2,13,13
800,25,75,13,14,1,38,1,0,1,1,0,1,12,10
1049,50,112,14,6,10,32,1,0,0,0,3,3,12,10
550,40,95,12,4,1,30,0,0,0,0,3,4,12,10
1190,40,119,17,4,2,34,1,0,0,1,0,1,12,14
583,48,94,14,10,6,37,1,0,0,0,2,1,12,12
1200,40,103,14,5,2,30,1,0,0,1,1,1,6,7
797,55,90,16,11,5,33,1,0,0,1,5,2,14,17
1371,40,128,18,8,13,36,1,0,0,0,1,2,16,12
360,55,110,13,11,1,38,0,1,0,1,4,,12,8
1270,40,84,12,11,12,30,1,0,0,1,2,2,12,12
1832,40,97,12,16,1,36,1,0,0,1,1,2,8,12
909,40,102,12,14,5,33,1,0,0,1,3,3,12,7
1746,40,131,18,9,10,33,1,0,0,1,7,3,12,12
520,40,126,16,8,1,30,1,0,0,1,7,5,12,12
808,40,107,16,6,7,29,1,0,0,0,7,6,12,12
2137,45,108,16,11,2,36,1,0,0,1,2,3,12,
692,50,92,15,9,3,38,1,1,0,1,0,1,8,8
931,80,108,16,4,1,36,1,0,0,1,4,2,12,12
812,45,115,16,11,3,34,1,0,0,1,1,2,12,8
866,40,111,14,16,14,35,1,0,0,1,1,1,12,12
1442,40,115,12,14,9,36,1,0,0,1,7,5,12,12
500,40,101,14,12,0,32,1,0,0,0,2,2,11,6
1384,50,114,18,12,2,37,1,0,0,1,1,1,12,13
528,55,116,18,5,9,30,1,0,0,1,4,5,12,12
881,40,90,12,4,14,36,1,0,0,0,2,3,12,
1026,45,125,12,11,11,28,1,0,0,1,3,1,14,17
1212,40,98,12,11,12,28,0,0,0,1,4,,12,10
1620,38,111,15,8,5,29,1,0,0,0,1,2,10,
1843,48,109,16,11,2,32,1,0,0,1,3,2,12,
1602,60,124,16,12,2,37,1,0,0,1,1,2,12,12
1000,40,121,13,6,1,33,1,0,0,1,2,2,8,14
737,48,103,12,7,4,30,1,0,0,1,4,4,10,
1699,40,96,12,10,1,29,0,0,1,1,2,3,12,12
1699,40,100,12,11,9,33,1,0,0,1,1,2,12,8
1025,48,104,14,6,5,32,1,0,0,1,2,3,,12
1107,40,112,12,12,5,38,1,0,0,1,5,3,11,12
625,40,73,11,1,1,31,1,0,0,1,3,4,12,12
720,50,101,13,1,7,29,1,0,0,1,4,2,11,11
855,40,99,12,19,10,36,1,0,0,1,1,2,12,12
1250,40,95,12,12,2,32,1,0,0,1,2,2,12,12
1130,40,109,18,4,13,38,1,0,0,0,1,2,18,15
900,40,110,12,6,1,28,0,0,0,1,1,,13,13
1924,50,98,17,6,7,38,1,0,0,1,1,1,4,
962,40,112,15,8,2,37,1,0,0,1,2,1,12,16
1874,48,64,11,22,3,38,1,1,0,1,7,,,
1573,55,90,12,5,3,30,1,0,0,1,4,3,11,8
940,45,102,14,11,7,36,1,0,0,1,1,2,12,10
900,40,119,16,8,9,30,1,0,0,0,1,2,12,12
882,44,96,12,15,13,31,1,0,0,0,6,3,8,10
1710,45,118,18,12,12,38,1,0,0,1,1,1,12,12
1260,45,79,12,19,15,37,1,0,0,0,3,2,9,8
751,40,96,12,9,7,38,1,0,0,0,1,1,10,8
1097,50,80,11,12,12,28,1,0,0,0,5,1,12,11
1001,48,137,13,11,11,33,1,0,0,0,5,6,12,
1154,40,116,15,11,12,34,0,0,0,0,2,1,12,9
1000,43,69,12,15,16,35,1,0,0,1,4,4,12,8
1250,40,78,12,16,3,33,1,0,0,1,9,,6,2
857,65,99,12,18,3,38,1,0,1,1,2,1,8,8
1211,27,92,12,13,3,31,1,0,0,1,3,2,16,12
937,32,113,16,12,7,29,1,0,0,1,3,,16,12
904,50,98,13,7,1,33,1,0,0,1,5,,12,
872,45,115,15,7,4,29,1,0,0,1,3,1,12,18
1200,40,96,9,18,0,34,1,0,0,1,4,3,,8
1261,40,117,17,1,9,35,1,0,0,1,4,1,6,8
950,40,96,12,14,2,35,1,0,0,1,1,1,8,2
115,50,108,12,9,3,29,1,0,0,1,5,6,10,11
673,40,92,17,6,4,31,1,0,0,1,5,5,16,12
1084,45,95,15,17,10,37,1,0,0,1,1,2,16,16
1058,40,94,14,13,14,34,1,0,0,1,0,1,15,9
800,40,115,12,20,12,38,1,0,0,0,7,6,7,8
369,40,117,18,11,1,31,0,0,0,0,3,4,,
1924,40,105,16,14,13,36,1,0,0,0,0,1,12,
855,40,109,12,17,15,36,1,0,0,0,3,1,7,6
864,40,87,12,15,6,31,1,0,0,0,1,1,12,12
1092,44,110,16,15,13,36,1,0,0,1,4,4,13,13
1025,40,110,16,9,4,30,1,0,0,0,3,,10,12
850,35,109,12,11,2,31,1,0,0,0,2,2,17,
673,40,85,12,17,10,35,1,0,0,0,2,2,12,12
800,40,105,14,12,12,37,1,0,0,0,3,2,10,12
1049,44,122,16,7,3,33,1,0,0,0,3,3,10,12
884,40,108,17,9,11,35,1,0,0,1,3,2,14,9
800,40,122,16,10,2,31,0,0,1,1,3,3,12,8
1200,40,79,17,9,9,32,1,0,0,1,0,1,8,8
664,40,105,12,8,10,29,1,0,0,1,7,6,12,12
1111,45,90,12,18,18,37,1,0,0,1,6,3,,
850,43,111,16,8,8,34,1,0,0,1,4,2,,
1000,40,110,12,6,12,37,1,0,0,1,5,2,8,12
875,40,92,12,8,4,29,0,0,0,1,4,,14,14
1202,40,131,16,10,2,33,1,0,0,0,3,2,12,12
666,40,104,12,10,2,29,1,0,0,0,2,3,12,12
923,40,110,16,15,11,37,1,0,0,0,2,1,12,7
788,40,99,12,10,10,28,1,0,1,1,4,5,10,3
950,40,86,10,23,5,38,1,0,1,1,9,9,,6
1442,40,105,12,9,16,37,1,0,1,1,3,4,,
866,40,85,12,11,12,30,1,1,1,0,8,5,6,0
625,40,72,9,17,5,34,1,0,1,0,10,7,4,
680,40,86,12,13,9,32,0,0,1,0,6,1,6,7
693,40,68,12,11,19,35,1,0,1,0,5,2,12,8
875,36,95,12,16,2,38,0,1,1,0,8,9,6,
2308,40,116,17,8,2,38,1,0,0,0,6,1,12,13
1196,45,96,14,10,4,32,1,0,1,0,2,3,10,6
700,38,85,12,13,8,32,1,1,1,1,6,,2,8
721,40,100,12,8,8,29,1,0,1,1,3,2,12,4
1500,40,101,13,13,2,32,1,0,1,1,5,3,12,8
1050,50,97,15,4,9,31,1,1,1,1,2,1,16,9
801,48,100,14,6,10,29,1,1,1,1,2,1,,
640,23,96,12,7,3,31,0,1,1,1,5,,,
1198,32,117,16,7,9,30,1,0,1,1,1,2,12,12
390,55,93,12,4,2,32,1,0,1,1,1,,16,13
889,36,116,12,12,11,28,1,0,1,1,1,2,9,12
1076,38,106,12,19,20,36,1,0,1,1,1,1,12,9
1127,40,98,12,17,12,36,1,0,1,1,1,2,14,12
750,50,103,15,1,1,37,1,0,1,0,1,1,12,9
855,40,118,14,6,14,33,1,0,1,0,3,1,,12
525,40,100,13,5,1,31,1,0,1,0,1,1,10,12
1104,54,96,12,11,4,29,1,0,1,0,1,2,10,12
553,40,67,12,11,10,30,1,1,1,0,7,2,8,9
800,43,96,12,10,1,29,1,0,1,0,1,1,10,10
1384,50,104,13,8,7,31,1,0,1,0,3,1,13,14
425,30,106,17,8,0,36,0,0,1,0,0,1,14,12
510,54,62,11,13,4,33,0,1,1,1,7,6,2,10
370,32,73,12,13,2,31,1,1,1,0,9,2,3,4
596,40,62,12,16,14,33,1,1,1,0,9,8,2,8
402,40,76,12,9,4,28,1,1,0,1,4,2,,10
418,40,76,12,12,2,31,1,1,1,0,0,1,9,10
1133,40,106,16,13,10,36,1,0,1,0,1,1,12,
681,40,94,12,18,15,35,0,0,1,1,4,,9,10
950,40,81,11,16,5,35,1,0,1,0,3,4,10,6
600,40,87,10,20,7,36,1,0,1,0,0,1,5,6
661,40,96,13,8,6,29,0,0,1,0,3,2,,5
925,40,75,12,12,9,30,1,0,1,0,2,2,6,
550,40,95,12,14,13,31,1,0,1,0,0,1,5,5
606,40,86,11,13,11,30,1,0,1,0,4,4,3,7
425,40,86,10,7,1,30,1,0,1,0,4,4,3,7
340,50,104,14,4,1,31,1,0,1,1,5,3,8,18
692,50,95,12,16,9,34,1,0,1,1,2,2,7,5
575,40,116,12,11,9,29,1,0,1,0,1,2,8,12
571,40,66,9,15,10,33,1,0,1,0,5,1,8,6
817,40,101,16,11,9,32,1,0,1,1,1,2,0,5
987,40,96,12,11,5,29,1,0,1,0,1,2,12,12
616,55,104,12,16,18,35,1,0,1,1,4,5,9,
1026,60,105,16,12,1,35,1,0,0,1,3,1,14,10
808,40,106,12,4,3,29,1,0,0,1,1,2,8,7
808,50,101,17,8,0,30,1,0,1,1,1,2,15,15
788,40,96,12,13,5,36,1,0,1,1,4,1,12,12
850,40,105,12,6,2,33,1,0,0,1,1,1,12,9
900,38,106,12,10,19,38,1,0,1,1,7,,3,2
1418,45,102,12,19,20,36,1,0,1,1,2,3,8,8
260,40,75,12,21,0,37,1,1,1,0,3,3,,
662,45,99,14,7,2,28,1,1,1,0,6,1,5,5
562,55,90,13,4,1,38,1,0,1,0,1,1,12,11
562,80,104,12,11,5,28,1,0,1,0,1,,12,12
357,70,115,13,5,2,30,1,0,1,1,6,7,,
1009,40,118,16,11,12,32,1,0,1,0,0,1,12,10
1442,40,108,12,17,17,36,1,0,1,1,1,1,9,12
651,40,76,11,11,2,29,1,1,0,1,7,7,10,11
750,40,50,12,14,5,32,1,1,1,0,10,,3,
754,40,55,12,13,14,33,1,1,1,0,2,1,10,
700,40,73,12,17,9,38,1,1,1,0,8,3,,
503,40,84,11,11,2,30,0,1,0,1,3,,9,9
937,40,104,12,14,15,32,1,0,1,0,1,2,12,9
624,40,92,10,18,10,36,1,0,1,0,2,3,10,6
750,40,83,12,4,10,32,1,1,1,0,7,1,10,6
900,40,98,14,1,8,30,1,1,1,0,7,2,10,6
540,40,70,10,12,10,29,1,1,1,0,9,,10,7
642,35,87,13,9,3,30,1,0,1,0,10,10,4,10
400,50,96,15,6,10,28,0,0,1,0,5,,12,
900,40,80,10,15,14,38,1,0,1,0,3,3,12,10
513,40,104,16,8,10,33,1,0,1,0,5,2,12,10
894,40,104,18,7,10,35,1,0,1,0,7,8,9,8
1282,60,96,18,7,5,32,1,0,1,1,4,2,12,18
485,40,89,12,10,9,30,0,0,1,0,4,3,12,18
325,55,113,12,11,5,29,1,0,1,0,1,2,10,13
769,45,105,12,16,5,33,1,0,1,0,4,1,7,7
618,40,84,14,6,8,31,0,0,1,1,7,8,7,4
1040,48,108,12,16,17,35,1,0,1,1,6,7,7,3
751,40,104,12,15,4,34,1,0,1,1,4,3,8,3
380,50,106,12,15,11,30,1,0,1,0,2,1,7,7
300,24,83,12,16,3,37,1,1,1,1,4,1,3,
753,46,70,10,21,7,38,1,0,1,1,4,2,12,7
1065,65,104,16,10,11,34,1,0,1,1,2,3,11,12
1070,40,91,12,13,1,30,1,0,0,1,1,2,14,12
1573,55,112,18,7,8,34,1,0,1,1,1,1,14,18
650,40,97,10,14,9,30,1,0,1,0,5,1,12,9
700,45,99,12,15,7,32,1,0,1,0,4,2,10,10
494,40,74,12,16,4,34,1,1,1,0,5,,,
890,48,100,12,4,8,31,1,0,1,0,0,1,,
520,40,86,10,15,12,31,1,0,1,0,0,1,6,
891,40,90,12,16,16,32,1,0,1,0,5,5,12,9
570,50,101,12,11,12,30,1,0,0,1,2,3,12,
1444,40,109,15,11,1,29,1,0,1,1,2,1,11,9
481,48,98,12,14,2,31,0,1,0,1,4,3,,
500,44,107,12,21,12,38,1,0,1,0,2,,12,7
1473,40,110,16,15,15,36,1,0,1,0,1,2,12,14
803,40,120,13,4,1,28,1,0,1,1,3,4,10,12
962,50,97,16,7,2,30,1,0,1,1,0,1,12,12
1000,44,103,12,9,5,29,1,0,1,1,0,1,11,
600,40,114,16,5,4,30,1,0,1,1,2,1,12,12
450,40,95,11,12,2,30,1,0,1,0,2,3,8,8
629,60,93,12,6,1,30,1,1,1,0,8,3,10,6
492,60,67,12,15,2,34,1,1,1,0,3,,8,
1562,40,97,17,7,2,32,1,0,1,1,5,1,12,13
357,70,97,14,6,3,28,1,0,1,0,1,2,13,16
960,40,83,13,14,13,32,1,0,1,1,4,,10,
566,45,104,16,5,2,32,1,0,1,0,1,2,12,12
481,40,82,12,9,2,32,1,0,1,0,2,2,12,8
1442,40,113,16,8,10,35,1,0,1,1,2,2,8,8
645,45,93,12,11,3,35,1,0,1,0,7,7,7,8
788,40,100,11,15,6,32,1,1,1,0,5,,9,
644,42,101,12,11,5,33,1,0,1,0,4,3,12,
477,45,100,12,9,3,31,1,0,1,0,3,3,7,7
664,60,82,16,10,9,34,1,1,1,1,3,4,16,16
520,40,79,16,6,1,30,1,1,1,0,0,1,11,
1202,40,102,13,10,3,31,1,0,1,1,7,7,8,6
538,45,77,12,12,10,28,1,1,1,0,9,,7,
873,44,109,12,12,12,28,1,0,1,0,1,1,,11
1000,40,107,12,17,18,35,1,0,1,0,5,1,,
